species,sample_type,sample_subtype,classcode,Kingdom,Phylum,Class,Order,Family,Genus,Species,species_definition,taxonomic_source,common_name,mode,keep
CUCMIN,QUAD,INVERT,CUCMIN,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,miniata,Cucumaria miniata,WoRMS,Orange Sea Cucumber,,no
CUCSPP,SWATH,INVERT,CUCSPP,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,spp,Cucumaria,WoRMS,"Sea Cucumber (embedded, non-mobile)",,no
CUCSPP,QUAD,INVERT,CUCSPP,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,spp,Cucumaria,WoRMS,"Sea Cucumber (embedded, non-mobile)",,no
CUCSPP,UPC,COVER,CUCSPP,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,spp,Cucumaria,WoRMS,"Sea Cucumber (embedded, non-mobile)",,no
CUPCOR,UPC,COVER,CUPCOR,Animalia,Cnidaria,Anthozoa,Scleractinia,NA,NA,NA,Cup Coral,PISCO,Cup Coral,,no
CVEN,FISH,FISH,CVEN,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Cephaloscyllium,ventriosum,Cephaloscyllium ventriosum,WoRMS,Swell Shark,,no
CVIO,FISH,FISH,CVIO,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Cebidichthys,violaceus,Cebidichthys violaceus,WoRMS,Monkeyface Eel,,no
DEADHOLD,UPC,COVER,DEADHOLD,NA,NA,NA,NA,NA,NA,NA,Macrosystis Holdfast (Dead),PISCO,Macrosystis Holdfast (Dead),,no
DERIMB,SWATH,INVERT,DERIMB,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,imbricata,Dermasterias imbricata,WoRMS,Leather Star,,no
DERIMB,SIZEFREQ,INVERT,DERIMB,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,imbricata,Dermasterias imbricata,WoRMS,Leather Star,,no
DESSPP,UPC,COVER,DESSPP,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,spp,Desmarestia,WoRMS,Acidic Seaweed,algae,yes
DIACAL,UPC,COVER,DIACAL,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,NA,Diaperoforma,californica,Diaperoforma californica,WoRMS,Southern Staghorn Bryozoan,,no
DICSPP,UPC,COVER,DICSPP,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Dictyoneurum,californicum/reticulatum,Dictyoneurum californicum/reticulatum,WoRMS,Dictyoneurum,algae,yes
DICSPP,SWATH,ALGAE,DICSPP,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Costariaceae,Dictyoneurum,californicum/reticulatum,Dictyoneurum californicum/reticulatum,WoRMS,Dictyoneurum,algae,yes
DICTYOTALES,UPC,COVER,DICTYOTALES,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,NA,Dictyotales,spp,Dictyotales,WoRMS,Dictyotales,algae,yes
DIOASP,SWATH,INVERT,DIOASP,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,aspera,Diodora aspera,WoRMS,Rough Keyhole Limpet,invert_herbivore,yes
DIOCHA,UPC,COVER,DIOCHA,Animalia,Annelida,Polychaeta,"Eunicida, no order available for Chaetopterus","Onuphidae, Chaetopteridae",Diopatra/Chaetopterus,spp,Diopatra/Chaetopterus spp,WoRMS,Ornate Tube Worm,,no
DODFEW,UPC,COVER,DODFEW,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,fewkesi,Dodecaceria fewkesi,WoRMS,Dodecaceria,,no
EBIS,FISH,FISH,EBIS,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,bison,Enophrys bison,WoRMS,Buffalo Sculpin,,no
EGRMEN,SWATH,ALGAE,EGRMEN,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,menziesii,Egregia menziesii,WoRMS,Egregia,algae,yes
EGRMEN,UPC,COVER,EGRMEN,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,menziesii,Egregia menziesii,WoRMS,Egregia,algae,yes
EISARBAD,SWATH,ALGAE,EISARBAD,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,arborea,Eisenia arborea,WoRMS,Southern Sea Palm,algae,yes
EISARBADSUB,SWATH,ALGAE,EISARBADSUB,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,arborea,Eisenia arborea,WoRMS,Southern Sea Palm,algae,yes
EJAC,FISH,FISH,EJAC,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,jacksoni,Embiotoca jacksoni,WoRMS,Black Surfperch,,no
ELAT,FISH,FISH,ELAT,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,lateralis,Embiotoca lateralis,WoRMS,Striped Surfperch,,no
EMBI,FISH,FISH,EMBI,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotocidae,spp,Embiotocidae,WoRMS,Surfperches,,no
EMOR,FISH,FISH,EMOR,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,mordax,Engraulis mordax,WoRMS,Northern Anchovy,,no
ENCRED,UPC,COVER,ENCRED,Plantae,Rhodophyta,NA,NA,NA,NA,NA,Red Algae -Encrusting,PISCO,Red Algae -Encrusting,algae,yes
ERECOR,UPC,COVER,ERECOR,Plantae,Rhodophyta,Florideophyceae,Corallinales,NA,NA,NA,Coralline Algae -Erect/Articulated,PISCO,Coralline Algae -Erect/Articulated,algae,yes
ERECTRED,UPC,COVER,ERECTRED,Plantae,Rhodophyta,NA,NA,NA,NA,NA,Red Fleshy Algae,PISCO,Red Fleshy Algae,algae,yes
EUGRUB,SWATH,INVERT,EUGRUB,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eugorgia,rubens,Eugorgia rubens,WoRMS,Purple Gorgonian,,no
EVATRO,SWATH,INVERT,EVATRO,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,troschelii,Evasterias troschelii,WoRMS,Mottled Star,,no
EWAL,FISH,FISH,EWAL,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Ernogrammus,walkeri,Ernogrammus walkeri,WoRMS,Masked Prickleback,,no
GBY,FISH,FISH,GBY,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,chrysomelas/carnatus young of year,Sebastes chrysomelas/carnatus,WoRMS,Gopher and Black And Yellow Rockfish Young of Year,,no
GGAL,FISH,FISH,GGAL,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,galeus,Galeorhinus galeus,WoRMS,Tope Shark,,no
GIBB,FISH,FISH,GIBB,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,spp,Gibbonsia,WoRMS,Kelpfish,,no
GIBB,QUAD,FISH,GIBB,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,spp,Gibbonsia,WoRMS,Kelpfish,,no
GMAE,FISH,FISH,GMAE,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Gobiesox,maeandricus,Gobiesox maeandricus,WoRMS,Northern Clingfish,,no
GMOR,FISH,FISH,GMOR,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,mordax,Gymnothorax mordax,WoRMS,California Moray,,no
GNIG,FISH,FISH,GNIG,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Girella,nigricans,Girella nigricans,WoRMS,Opaleye,fish_herbivore,yes
GOBI,FISH,FISH,GOBI,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Gobiidae,spp,Gobiidae,WoRMS,Gobies,,no
GORGAD,UPC,COVER,GORGAD,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,NA,NA,Gorgonian Adult,PISCO,Gorgonian Adult,,no
GORGAD,QUAD,INVERT,GORGAD,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,NA,NA,Gorgonian Adult,PISCO,Gorgonian Adult,,no
GORGAD,SWATH,INVERT,GORGAD,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,NA,NA,Gorgonian Adult,PISCO,Gorgonian Adult,,no
GREEN,UPC,COVER,GREEN,Plantae,Chlorophyta,NA,NA,NA,NA,NA,Chlorophyta,WoRMS,Green Algae,algae,yes
HALCOR,QUAD,INVERT,HALCOR,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,corrugata,Haliotis corrugata,WoRMS,Pink Abalone,invert_herbivore,yes
HALCOR,SWATH,INVERT,HALCOR,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,corrugata,Haliotis corrugata,WoRMS,Pink Abalone,invert_herbivore,yes
HALCOR,SIZEFREQ,INVERT,HALCOR,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,corrugata,Haliotis corrugata,WoRMS,Pink Abalone,invert_herbivore,yes
HALCRA,SWATH,INVERT,HALCRA,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,cracherodii,Haliotis cracherodii,WoRMS,Black Abalone,invert_herbivore,yes
HALCRA,SIZEFREQ,INVERT,HALCRA,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,cracherodii,Haliotis cracherodii,WoRMS,Black Abalone,invert_herbivore,yes
HALFUL,SIZEFREQ,INVERT,HALFUL,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,fulgens,Haliotis fulgens,WoRMS,Green Abalone,invert_herbivore,yes
HALFUL,SWATH,INVERT,HALFUL,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,fulgens,Haliotis fulgens,WoRMS,Green Abalone,invert_herbivore,yes
HALKAM,SIZEFREQ,INVERT,HALKAM,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,kamtschatkana,Haliotis kamtschatkana,WoRMS,Pinto Abalone,invert_herbivore,yes
HALKAM,SWATH,INVERT,HALKAM,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,kamtschatkana,Haliotis kamtschatkana,WoRMS,Pinto Abalone,invert_herbivore,yes
HALRUF,SWATH,INVERT,HALRUF,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,rufescens,Haliotis rufescens,WoRMS,Red Abalone,invert_herbivore,yes
HALRUF,SIZEFREQ,INVERT,HALRUF,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,rufescens,Haliotis rufescens,WoRMS,Red Abalone,invert_herbivore,yes
HALSPP,SIZEFREQ,INVERT,HALSPP,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,spp,Haliotis,WoRMS,Abalone Spp.,invert_herbivore,yes
HALSPP,SWATH,INVERT,HALSPP,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,spp,Haliotis,WoRMS,Abalone Spp.,invert_herbivore,yes
HALWAL,SWATH,INVERT,HALWAL,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,walallensis,Haliotis walallensis,WoRMS,Flat Abalone,invert_herbivore,yes
