Paper_no.,Year of publication,Latitude,Trophic study,Organizational scale,Organism type,Biome,No. resource taxa,No. consumer taxa,Study type,Empirical type,Effect of diversity,Effect of asynchrony,Sync. mechanisms ,Async. Mechanisms,Effect of predators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2018,49 to 55,monotrophic,Population,Pices,aquatic,aquatic,oceanic-river interface,emperical,observational,NA,Yes,NA,increase in temporal variability as a result of population synchrony resulting from shared regional drivers,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2016,NA,monotrophic,Community,model,model,NA,NA,theoretical,NA,NA,Yes,NA,stochasticity  plays an important role in niche- structured metacommunities by altering coexistence strengt,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2016,46,monotrophic,Population,Aves,terrestrial,terrestrial,"lake,river,reservoir",emperical,observational,NA,Yes,synchrony a result of changes in nesting habitats,dispersal has a stabilizing effect,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2016,NA,monotrophic,Community,zooplankton,aquatic,aquatic,NA,emperical,experimental,no_effect,Yes,synchrony greater in constant environment ,"community- wide  synchrony  was  much  lower  in  fluctuating  environments  than  in  the  constant  environment, ",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2016,NA,monotrophic,Community,mammalia,model,NA,NA,theoretical,NA,NA,NA,NA,dispersal ability positively related to metapopulation persistence,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2016,59 to 67,monotrophic,Population,flagellete,aquatic,aquatic,lake,emperical,modelled,NA,Yes,NA,"previous year’s abundance, a proxy for cyst production and recruitment, had a strong control on the dynamics, likely contributing to the stability of high density populations",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2016,NA,monotrophic,Community,Phytoplankton,aquatic,aquatic,NA,emperical,experimental,Yes,Yes,as dispersal increases species richness decreases (synchrony increases); however productivity remained high,disturbance promotes asynchrony along with intermediate dispersal,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2016,18.3,monotrophic,Community,multitrophic,marine,marine,tidepool,emperical,observational,NA,Yes,NA,persistent spatial variation promotes stability of biotic and abiotic variables,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2015,43.5 to 45.5,monotrophic,Population,Pices,aquatic,aquatic,river,emperical,observational,NA,Yes,NA,asynchrony in ontogeny supplies a portfolio effect that promotes population stability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2016,NA,multitrophic,Community,model,model,NA,NA,theoretical,modelled,NA,Yes,NA,"metacommmunity stability is greater in systems with weak and strong dispersal: predators disperse strongly, herbivores disperse weakly; and when both disperse weakly",system_stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2016,NA,monotrophic,Community,model,model,NA,NA,theoretical,modelled,Yes,Yes,NA,"While alpha diversity decreases local ecosystem variability, beta diversity generally contributes to increasing spatial asynchrony among local ecosystems;at the regional scale, the stabilising effect of biodiversity increases as spatial environmental correlation increases",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2016,43,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,no_effect,Yes,NA,Nitrogen addition decreased ecosystem stability significantly through decreases in species asynchrony and population stability.,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2016,38.45,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,NA,Yes,Temporal variability increased functional group synchrony,increased spatial variability driven by spatially patchy fire and herbivory reduces temporal variability in aboveground plant biomass; promoting a portfolio effect,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2015,49 to 54,monotrophic,Population,Pices,aquatic,aquatic,Marine-Aquatic,emperical,observational,NA,NA,NA,fine-scale population diversity can contribute to the asynchrony and response diversity; genetic distance was correlated with asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2016,33.5,multitrophic,Community,algae,marine,marine,estuary,emperical,experimental,Yes,Yes,NA,higher producer diversity directly increased consumer diversity by increasing overyielding and decreasing the temporal variance of this response variable and that this increased consumer diversity enhanced consumer stability via increased asynchrony among consumers.,prey_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2016,Multi-region,multitrophic,Community,many,marine,marine,oceanic,emperical,observational,NA,Yes,NA,strong temporal asynchrony between key species or functional gorups within trophic levels; functional complementarity within trophic levels is the promary mechanism by which diversity promotes stability,predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2016,48.7 to 47.2,monotrophic,Population,Pices,marine,marine,oceanic,emperical,observational,NA,Yes,synchrony in negative growth rate as a result of PDO,"independence at the  subpopulation  level  confers  a  stabilizing  effect  on  the  overall Puget Sound spawning stock, ",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2016,NA,multitrophic,Community,model,model,NA,NA,theoretical,modelled,NA,Yes,density-independent dispersal promotes synchrony,density dependent predator behavior of intermediate species can desynchronize system,predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
